English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
accommodation,"<img src=""accommodation.jpg"">",/əˌkɒməˈdeɪʃn/,[sound:accommodation.mp3],"chỗ ở, nơi trú ngụ",The university helps international students find suitable {{c1::accommodation}}.,"Nơi sinh sống, lưu trú tạm thời hoặc lâu dài như nhà ở, căn hộ, phòng khách sạn.","A room, group of rooms, or building in which someone may live or stay.","rent accommodation, temporary accommodation, find accommodation","Syn: housing, lodging, dwelling | Ant: none",hotel accommodation,Động từ 'accommodate' (đáp ứng chỗ ở/nhu cầu) kết hợp hậu tố danh từ hóa '-ation'.,"Formal/Neutral - Rất thông dụng trong lĩnh vực du lịch, hành chính, học tập."
lodging,"<img src=""lodging.jpg"">",/ˈlɒdʒ.ɪŋ/,[sound:lodging.mp3],"nơi ở tạm thời, phòng trọ",The price of the tour includes both board and {{c1::lodging}}.,"Nơi trú ngụ tạm thời (như phòng trọ, nhà nghỉ) dành cho du khách hoặc người đi công tác.",Temporary accommodation or a room/place to stay in.,"board and lodging, seek lodging, temporary lodging","Syn: accommodation, shelter, quarters / Ant: eviction",a roof over one's head,Động từ 'lodge' (trú ẩn/ở trọ) + hậu tố danh từ '-ing'.,"Neutral / Formal (Thường xuất hiện trên tài liệu du lịch, hợp đồng dịch vụ)."
housing,"<img src=""housing.jpg"">",/ˈhaʊ.zɪŋ/,[sound:housing.mp3],"nhà ở, việc cung cấp nhà ở",The government is investing in affordable {{c1::housing}} for young families.,"Chỉ chung các loại nhà cửa, căn hộ nơi con người cư trú, hoặc lĩnh vực cung cấp chỗ ở cho xã hội.","Buildings for people to live in, or the provision of accommodation.","housing market, affordable housing, housing crisis","Syn: residence, accommodation, shelter / Ant: homelessness",as safe as houses,Danh từ 'house' (nhà ở) + hậu tố '-ing'.,"Neutral / Academic (Rất hay gặp trong chủ đề quy hoạch xã hội, kinh tế bất động sản)."
internship,"<img src=""internship.jpg"">",/ˈɪntɜːrnʃɪp/,[sound:internship.mp3],"kỳ thực tập, vị trí thực tập",She got a summer {{c1::internship}} at a prestigious law firm.,"Giai đoạn làm việc thực tế tại một tổ chức của học sinh, sinh viên hoặc người mới vào nghề nhằm tích lũy kinh nghiệm.","The position of a student or trainee who works in an organization, sometimes without pay, to gain work experience.","do an internship, unpaid internship, secure an internship","Syn: apprenticeship, practical training | Ant: permanent job",internship program,Danh từ 'intern' (thực tập sinh) kết hợp với hậu tố chỉ trạng thái/chức vụ '-ship'.,Neutral - Phổ biến trong môi trường giáo dục đại học và thị trường tuyển dụng.
weigh,"<img src=""weigh.jpg"">",/weɪ/,[sound:weigh.mp3],"cân nặng, cân nhắc",You must {{c1::weigh}} the pros and cons before making a decision.,"1. Đo trọng lượng của vật/người. 2. Xem xét, so sánh cẩn thận tầm quan trọng của các phương án khác nhau.",Find out how heavy someone or something is; carefully consider or compare options.,"weigh the options, weigh the pros and cons, weigh anchor","Syn: consider, evaluate, measure | Ant: ignore, neglect","weigh up (someone/something), weigh on one's mind","Từ tiếng Anh cổ 'wegan' (mang, di chuyển, đo lường trọng lượng).",Neutral - Sử dụng rộng rãi cho cả nghĩa đen vật lý và nghĩa bóng trong tư duy quyết định.
consider,"<img src=""consider.jpg"">",/kənˈsɪd.ər/,[sound:consider.mp3],"cân nhắc, xem xét",You should {{c1::consider}} all options before making a decision.,Suy nghĩ kỹ lưỡng về điều gì đó trước khi đưa ra quyết định.,"To think carefully about something, typically before making a decision.","consider an option, carefully consider, consider doing something","Syn: contemplate, ponder; Ant: ignore, disregard",all things considered,"Gốc Latin: considerare (quan sát kỹ, suy ngẫm)",Neutral - Sử dụng tự nhiên trong cả văn nói và văn viết.
judgment,"<img src=""judgment.jpg"">",/ˈdʒʌdʒmənt/,[sound:judgment.mp3],"phán quyết, sự đánh giá","In my {{c1::judgment}}, we should postpone the product launch.","Khả năng đưa ra các quyết định sáng suốt hoặc ý kiến, kết luận sau khi suy xét kỹ lưỡng.",The ability to make considered decisions or come to sensible conclusions.,"good judgment, pass judgment on, error of judgment","Syn: assessment, opinion, verdict | Ant: indecision",against my better judgment,"Động từ 'judge' (đánh giá, phân xử) cộng với hậu tố danh từ '-ment'.","Neutral/Formal - Dùng nhiều trong triết học, tư duy phản biện, luật pháp và quản lý."
develop,"<img src=""develop.jpg"">",/dɪˈveləp/,[sound:develop.mp3],phát triển,The company aims to {{c1::develop}} new technologies for renewable energy.,"Làm cho tăng trưởng, tiến bộ, hoàn thiện hơn hoặc nảy sinh một ý tưởng, thói quen.","Grow or cause to grow and become more mature, advanced, or elaborate.","develop skills, develop a habit, develop a business","Syn: grow, evolve, cultivate | Ant: decline, deteriorate",develop into,"Từ tiếng Pháp cổ 'desveloper' (mở ra, bộc lộ ra những gì bị che giấu).",Neutral - Sử dụng cực kỳ phổ biến trong tất cả các lĩnh vực từ đời sống đến khoa học kỹ thuật.
grow,"<img src=""grow.jpg"">",/ɡrəʊ/,[sound:grow.mp3],"phát triển, tăng trưởng, trồng",The startup continues to {{c1::grow}} rapidly in competitive markets.,"Sự gia tăng về quy mô, số lượng, thể chất theo thời gian; hoặc hành động trồng trọt cây cối.","To increase in size, amount, degree, or severity; expand or develop.","grow rapidly, grow crops, grow up","Syn: expand, develop, flourish / Ant: shrink, decline, wither",grow on someone,"Gốc Cổ Anh 'grōwan' (mọc, phát triển xanh tươi).","Neutral (Từ vựng đa năng, phổ quát trong mọi ngữ cảnh)."
shrink,"<img src=""shrink.jpg"">",/ʃrɪŋk/,[sound:shrink.mp3],"co lại, thu hẹp",Hot water can cause wool sweaters to {{c1::shrink}}.,"Trở nên nhỏ hơn về kích thước, quy mô hoặc số lượng.","To become smaller in size, amount, or degree.","shrink in size, shrink the budget, shrink from responsibility","Syn: contract, dwindle, diminish; Ant: expand, grow",shrinking violet,"Gốc tiếng Anh cổ: scrincan (co lại, khô héo)","Neutral - Dùng phổ biến trong đời sống, kinh tế, vật lý."
diminish,"<img src=""diminish.jpg"">",/dɪˈmɪn.ɪʃ/,[sound:diminish.mp3],"giảm bớt, suy giảm",Her enthusiasm began to {{c1::diminish}} as the task became harder.,"Trở nên nhỏ hơn, ít đi hoặc giảm tầm quan trọng.","To make or become less, smaller, or less important.","diminish in value, diminish returns, diminish authority","Syn: decrease, lessen, shrink; Ant: increase, augment",law of diminishing returns,di- (xuống) + minutia (nhỏ) + -ish,"Formal / Academic - Thường dùng trong phân tích, văn bản khoa học, kinh tế."
communication,"<img src=""communication.jpg"">",/kəˌmjuːnɪˈkeɪʃn/,[sound:communication.mp3],"sự giao tiếp, truyền thông",Effective {{c1::communication}} is essential for a happy relationship.,"Hoạt động truyền đạt, trao đổi thông tin, ý kiến, cảm xúc giữa người với người.","The imparting or exchanging of information by speaking, writing, or using some other medium.","effective communication, lack of communication, communication skills","Syn: interaction, contact, transmission | Ant: isolation, silence",breakdown of communication,Động từ 'communicate' (giao tiếp) kết hợp hậu tố '-ion' tạo danh từ chỉ quá trình.,"Neutral/Academic - Phổ biến trong học tập, kỹ năng mềm lẫn nghiên cứu khoa học xã hội."
problem-solving,"<img src=""problem-solving.jpg"">",/ˈprɒbləm ˌsɒlvɪŋ/,[sound:problem-solving.mp3],giải quyết vấn đề,Employers highly value strong {{c1::problem-solving}} skills.,Quá trình hoặc kỹ năng phân tích và tìm ra phương án tối ưu để xử lý các vấn đề khó khăn.,The process of finding solutions to difficult or complex issues.,"problem-solving skills, problem-solving ability, creative problem-solving","Syn: troubleshooting, resolution | Ant: none",problem-solving process,Danh từ ghép giữa 'problem' (vấn đề) và danh động từ 'solving' (việc tìm lời giải).,"Neutral/Professional - Đặc biệt thịnh hành trong các CV xin việc, quản trị nhân sự và giáo dục."
maintain,"<img src=""maintain.jpg"">",/meɪnˈteɪn/,[sound:maintain.mp3],"duy trì, giữ vững",You should drink plenty of water to {{c1::maintain}} good health.,"Giữ cho một tình trạng, hoạt động hoặc mức độ nào đó liên tục tiếp diễn và không bị giảm sút.",Cause or enable (a condition or state of affairs) to continue.,"maintain a relationship, maintain standards, maintain order","Syn: preserve, keep up, sustain | Ant: abandon, neglect",maintain that (khẳng định rằng),"Từ gốc Latin 'manu tenere' (nắm giữ trong bàn tay), chỉ hành động bảo vệ, giữ gìn.","Neutral/Formal - Thường xuất hiện trong văn phong học thuật, kỹ thuật và đối thoại lịch sự."
preserve,"<img src=""preserve.jpg"">",/prɪˈzɜːv/,[sound:preserve.mp3],"bảo tồn, giữ gìn",We should take action to {{c1::preserve}} our natural environment.,"Giữ cho thứ gì đó ở trạng thái nguyên vẹn, tốt đẹp hoặc không bị hư hỏng.",To maintain something in its original or existing state.,"preserve culture, preserve evidence, preserve food","Syn: maintain, protect | Ant: destroy, ruin","well-preserved (được bảo quản tốt, trẻ lâu)","Tiền tố pre- (trước) + căn từ servare (bảo vệ, giữ)",Neutral / Formal - Dùng trong cả văn nói và trang trọng.
sustain,"<img src=""sustain.jpg"">",/səˈsteɪn/,[sound:sustain.mp3],"duy trì, chống đỡ",The company has enough capital to {{c1::sustain}} its operations for another year.,"Duy trì hoặc kéo dài một trạng thái, sự sống hoặc hoạt động qua thời gian.",To strengthen or support physically or mentally over a period.,"sustain growth, sustain injury, sustain life","Syn: maintain, support | Ant: abandon, undermine",sustainable development (phát triển bền vững),Tiền tố sus-/sub- (dưới) + căn từ tenere (giữ),"Formal / Academic - Thường dùng trong ngữ cảnh kinh tế, môi trường, học thuật."
financial management,"<img src=""financial.jpg"">",/faɪˈnænʃl ˈmænɪdʒmənt/,[sound:financial.mp3],quản lý tài chính,Good {{c1::financial management}} is crucial for the survival of small businesses.,"Hoạt động lập kế hoạch, kiểm soát và điều phối các nguồn lực tiền tệ một cách hiệu quả.","The planning, organizing, directing and controlling of financial activities.","personal financial management, effective financial management","Syn: money management, budgeting | Ant: none",sound financial management,Ghép từ tính từ 'financial' (thuộc tài chính) và danh từ 'management' (sự quản lý).,"Professional/Academic - Dùng nhiều trong kinh doanh, kinh tế học và bài giảng tài chính cá nhân."
debt,"<img src=""debt.jpg"">",/det/,[sound:debt.mp3],"khoản nợ, tình trạng nợ nần",He is struggling to pay off his credit card {{c1::debt}}.,Một số tiền hoặc nghĩa vụ mà ai đó nợ và có trách nhiệm phải hoàn trả lại.,"Something, typically money, that is owed or due.","pay off debt, run into debt, national debt","Syn: liability, obligation, dues | Ant: asset, credit","in debt, debt of gratitude","Vay mượn từ tiếng Pháp cổ 'dete', âm 'b' câm được thêm vào sau này để mô phỏng từ gốc Latin 'debitum'.",Neutral - Sử dụng rộng rãi trong các cuộc hội thoại thường ngày và lĩnh vực tài chính.
time management,,/ˈtaɪm ˌmænɪdʒmənt/,[sound:timemanagement.mp3],quản lý thời gian,Poor {{c1::time management}} can lead to high stress levels.,Khả năng phân bổ và kiểm soát lượng thời gian dành cho các hoạt động cụ thể nhằm tăng năng suất.,The process of planning and exercising conscious control of time spent on specific activities.,"time management skills, effective time management","Syn: scheduling, punctuality | Ant: procrastination",time management strategies,Danh từ ghép giữa 'time' (thời gian) và 'management' (sự quản lý).,Neutral/Professional - Rất phổ biến trong lĩnh vực phát triển bản thân và đào tạo kỹ năng doanh nghiệp.
manageable,"<img src=""manageable.jpg"">",/ˈmænɪdʒəbl/,[sound:manageable.mp3],"có thể quản lý, kiểm soát được","The workload was high, but we broke it down into {{c1::manageable}} tasks.","Có kích thước, quy mô hoặc mức độ vừa phải để dễ dàng xử lý, kiểm soát hoặc giải quyết.",Able to be controlled or dealt with without difficulty.,"manageable workload, manageable size, highly manageable","Syn: controllable, doable, feasible | Ant: unmanageable, uncontrollable",keep things manageable,"Động từ 'manage' (quản lý, xoay xở) kết hợp hậu tố tính từ '-able' (có thể).","Neutral - Thường dùng trong quản trị dự án, quản lý công việc và sắp xếp đời sống hàng ngày."
controllable,"<img src=""controllable.jpg"">",/kənˈtrəʊ.lə.bəl/,[sound:controllable.mp3],có thể kiểm soát,The forest fire is now {{c1::controllable}} thanks to the firefighters.,"Có khả năng bị quản lý, điều khiển hoặc kiềm chế.",Capable of being controlled or managed.,"controllable risk, controllable factor, highly controllable","Syn: manageable, governable | Ant: uncontrollable, wild",under control (trong tầm kiểm soát),Động từ control (kiểm soát) + hậu tố tính từ -able (có thể),"Neutral - Dùng phổ biến trong kỹ thuật, quản lý và đời sống."
unmanageable,,/ʌnˈmæn.ɪ.dʒə.bəl/,[sound:unmanageable.mp3],không thể quản lý/khó kiểm soát,The debt had grown to an {{c1::unmanageable}} level for the small business.,"Quá khó hoặc không thể quản lý, điều khiển hay giải quyết.","Difficult or impossible to manage, manipulate, or control.","unmanageable debt, unmanageable workload, unmanageable behavior","Syn: uncontrollable, unruly | Ant: manageable, controllable",get out of hand (vượt khỏi tầm tay),Tiền tố un- (không) + manage (quản lý) + hậu tố -able (có thể),Neutral / Formal - Thường dùng mô tả tình trạng vượt kiểm soát.
belong to,,/bɪˈlɔːŋ tuː/,[sound:belongto.mp3],thuộc về,Does this notebook {{c1::belong to}} you?,"Là tài sản của ai đó, hoặc là thành viên, một phần của một tổ chức, nhóm, câu lạc bộ.",Be the property of; be a member of (a group or organization).,"belong to a club, belong to someone","Syn: be owned by, pertain to | Ant: none",sense of belonging,Gồm động từ 'belong' (thuộc về) đi kèm giới từ 'to' chỉ đối tượng hướng đến.,Neutral - Rất thông dụng và cơ bản trong tiếng Anh hàng ngày.
depend on,,/dɪˈpend ɒn/,[sound:dependon.mp3],"phụ thuộc vào, dựa vào",Our success will {{c1::depend on}} how hard we work.,Bị quyết định hoặc chịu ảnh hưởng hoàn toàn bởi một yếu tố nào đó; hoặc tin tưởng vào ai đó.,Be controlled or determined by; rely on with trust.,"depend on circumstances, depend on weather","Syn: rely on, turn on, hinge on | Ant: none",depend upon it,Động từ 'depend' (xuất phát từ gốc Latin 'dependere' - treo lơ lửng từ...) kết hợp giới từ 'on'.,Neutral - Sử dụng rộng rãi trong cả đời sống hàng ngày và nghiên cứu học thuật để chỉ mối quan hệ nhân quả.
rely on,,/rɪˈlaɪ ɒn/,[sound:relyon.mp3],"tin cậy, dựa dẫm vào",You can always {{c1::rely on}} him to keep a secret.,Đặt niềm tin tuyệt đối vào ai đó sẽ làm tốt việc gì hoặc hỗ trợ mình khi cần.,Depend on with full trust or confidence.,"rely on technology, heavily rely on, rely on facts","Syn: trust, depend on, count on | Ant: distrust",someone to rely on,Động từ 'rely' (đến từ gốc Latin 'religare' - liên kết chặt chẽ) kết hợp giới từ 'on'.,Neutral - Nhấn mạnh mạnh mẽ vào yếu tố niềm tin và sự tín nhiệm hơn so với 'depend on'.
save for something,"<img src=""save.jpg"">",/seɪv fɔːr ˈsʌmθɪŋ/,[sound:save.mp3],tiết kiệm tiền cho việc gì,They are trying to {{c1::save for}} a new house.,"Dành dụm, không tiêu xài một khoản tiền nhất định để dùng cho một mục đích cụ thể trong tương lai.",Keep money instead of spending it to pay for a future expense or goal.,"save for a rainy day, save for retirement, save for college","Syn: set aside money, hoard | Ant: spend, squander",save for a rainy day,"Động từ 'save' (tiết kiệm, cứu giúp) + giới từ mục đích 'for' + danh từ/mục tiêu.",Neutral - Cực kỳ thông dụng trong giao tiếp hàng ngày và thảo luận về tài chính cá nhân.
autonomous,"<img src=""autonomous.jpg"">",/ɔːˈtɒn.ə.məs/,[sound:autonomous.mp3],"tự chủ, tự trị",Future transportation will rely heavily on {{c1::autonomous}} vehicles.,"Có quyền tự trị, tự quyết định hoặc hoạt động độc lập không cần điều khiển.",Having the freedom to govern itself or control its own affairs; acting independently.,"autonomous vehicle, autonomous region, autonomous decision","Syn: independent, self-governing | Ant: dependent, controlled",autonomous system (hệ thống tự chủ),Tiền tố auto- (tự) + căn từ nomos (luật lệ) + hậu tố -ous (tính từ),"Academic / Technical - Dùng trong chính trị, công nghệ, triết học."
incentive,"<img src=""incentive.jpg"">",/ɪnˈsen.tɪv/,[sound:incentive.mp3],"sự khuyến khích, động lực",The bonus offers a strong {{c1::incentive}} for employees to work harder.,Thứ dùng để khuyến khích hoặc thôi thúc ai đó làm điều gì đó.,A thing that motivates or encourages someone to do something.,"financial incentive, tax incentive, provide an incentive","Syn: motivation, encouragement | Ant: deterrent, disincentive",incentive scheme (chương trình kích thích/thưởng),"Căn từ gốc Latin incinitivus (kích thích, làm dấy lên)","Formal / Business - Dùng nhiều trong kinh doanh, quản trị và kinh tế."
cautious,"<img src=""cautious.jpg"">",/ˈkɔː.ʃəs/,[sound:cautious.mp3],"thận trọng, cẩn trọng",Investors are extremely {{c1::cautious}} about putting money into the new market.,Cẩn thận tránh nguy hiểm hoặc rủi ro không cần thiết.,Careful to avoid potential problems or dangers.,"cautious approach, extremely cautious, cautious optimism","Syn: careful, prudent | Ant: reckless, careless",err on the side of caution (thà cẩn trọng quá mức còn hơn),Danh từ caution (sự cẩn trọng) + hậu tố tính từ -ous,Neutral - Thích hợp trong mọi ngữ cảnh.
dependent,"<img src=""dependent.jpg"">",/dɪˈpen.dənt/,[sound:dependent.mp3],"phụ thuộc, dựa vào",The success of the project is highly {{c1::dependent}} on team collaboration.,"Cần sự hỗ trợ, giúp đỡ hoặc phụ thuộc vào ai/cái gì để tồn tại hay hoạt động.",Relying on someone or something else for support or aid.,"be dependent on, highly dependent, weather-dependent","Syn: reliant, conditional | Ant: independent, autonomous",dependent variable (biến phụ thuộc),Tiền tố de- (xuống) + căn từ pend (treo) + hậu tố -ent,Neutral - Sử dụng phổ biến rộng rãi.
drive,"<img src=""drive.jpg"">",/draɪv/,[sound:drive.mp3],"động lực, sự thúc đẩy",Her strong inner {{c1::drive}} helped her overcome every obstacle.,"Năng lượng, động lực mạnh mẽ đẩy một người tiến tới mục tiêu.",An innate desire or motivation to achieve a goal.,"ambition and drive, recruitment drive, drive for success","Syn: motivation, determination | Ant: apathy, laziness","drive somebody crazy (làm ai đó phát điên), drive home (nhấn mạnh)","Động từ/danh từ gốc Anh cổ 'drīfan' (đẩy, ép tiến lên)",Neutral - Dùng phổ biến trong cả giao tiếp và công việc.
meticulous,"<img src=""meticulous.jpg"">",/məˈtɪk.jə.ləs/,[sound:meticulous.mp3],"tỉ mỉ, kỹ lưỡng",He paid {{c1::meticulous}} attention to every detail in the report.,"Rất cẩn thận, chú ý đến từng chi tiết nhỏ nhất.",Showing great attention to detail; very careful and precise.,"meticulous planning, meticulous research, meticulous work","Syn: thorough, precise | Ant: careless, sloppy",meticulous in one's work (tỉ mỉ trong công việc),"Gốc Latin metus (nỗi sợ) -> meticulosus (sợ sai, cẩn thận quá mức)",Formal / Academic - Mang nghĩa tích cực khi khen sự kỹ lưỡng.
strive,"<img src=""strive.jpg"">",/straɪv/,[sound:strive.mp3],"cố gắng, phấn đấu",We always {{c1::strive}} for excellence in everything we do.,Nỗ lực rất nhiều hoặc đấu tranh gay gắt để đạt được điều gì đó.,To make great efforts to achieve or obtain something.,"strive for excellence, strive to improve, strive against","Syn: endeavor, struggle | Ant: neglect, surrender",strive for perfection (phấn đấu hướng tới sự hoàn hảo),"Từ tiếng Pháp cổ 'estriver' (tranh chấp, nỗ lực)","Formal / Literary - Thường dùng trong tuyên bố sứ mệnh, mục tiêu phát triển."
direction,"<img src=""direction.jpg"">",/daɪˈrek.ʃən/,[sound:direction.mp3],"hướng đi, sự định hướng",The new manager gave a clear {{c1::direction}} for the upcoming project.,"Phương hướng di chuyển, hoặc sự chỉ dẫn/định hướng hành động.",A course along which someone or something moves; guidance.,"sense of direction, in the right direction, future direction","Syn: course, guidance | Ant: disorientation, aimlessness",step in the right direction (bước đi đúng hướng),Động từ direct (chỉ hướng) + hậu tố danh từ -ion,Neutral - Phổ biến trong mọi tình huống.
reckless,"<img src=""reckless.jpg"">",/ˈrek.ləs/,[sound:reckless.mp3],"liều lĩnh, coi thường rủi ro",His {{c1::reckless}} driving endangered the lives of pedestrians.,"Hành động thiếu suy nghĩ, không quan tâm đến hậu quả nguy hiểm.",Without thinking or caring about the consequences of an action.,"reckless driving, reckless behavior, reckless disregard","Syn: rash, careless | Ant: cautious, prudent",reckless abandon (sự buông thả liều lĩnh),Danh từ cổ reck (sự quan tâm/lo lắng) + hậu tố -less (thiếu/không),Neutral / Informal - Mang sắc thái tiêu cực mạnh.
contend,"<img src=""contend.jpg"">",/kənˈtend/,[sound:contend.mp3],"tranh chấp, cho rằng",Several companies are {{c1::contending}} for the lucrative contract.,"Cạnh tranh để giành lấy cái gì, hoặc quả quyết/cho rằng điều gì là đúng.","To struggle to surmount a difficulty, or to assert something in an argument.","contend with difficulties, contend that, contend for a prize","Syn: compete, assert | Ant: yield, concede",contend with (đối mặt/giải quyết với khó khăn),"Tiền tố con- (cùng nhau) + căn từ tendere (kéo, giằng co)","Formal / Academic - Dùng trong tranh luận, thể thao chuyên nghiệp, chính trị."
instruction,"<img src=""instruction.jpg"">",/ɪnˈstrʌk.ʃən/,[sound:instruction.mp3],"hướng dẫn, sự chỉ dẫn",Please read the {{c1::instructions}} carefully before assembling the table.,Lời chỉ dẫn cách làm việc gì hoặc kiến thức được truyền dạy.,"Detailed information telling how something should be done, operated, or assembled.","follow instructions, give instructions, clear instruction","Syn: direction, guidance | Ant: misinformation",under instruction (theo chỉ thị/hướng dẫn),Động từ instruct (hướng dẫn) + hậu tố danh từ -ion,Neutral - Rất thông dụng trong cuộc sống và học tập.
self-reliant,"<img src=""self-reliant.jpg"">",/ˌself.rɪˈlaɪ.ənt/,[sound:self-reliant.mp3],"tự lực, tự dựa vào sức mình",Going to college helped her become more {{c1::self-reliant}}.,Có khả năng tự làm mọi việc và đưa ra quyết định mà không cần dựa vào người khác.,Reliant on one's own powers and resources rather than those of others.,"become self-reliant, highly self-reliant, self-reliant individual","Syn: independent, self-sufficient | Ant: dependent, helpless",stand on one's own two feet (tự đứng trên đôi chân mình),Tiền tố self- (bản thân) + tính từ reliant (phụ thuộc/dựa vào),Neutral / Positive - Mang nghĩa tích cực khen ngợi tính tự lập.
circumstance,"<img src=""circumstance.jpg"">",/ˈsɜː.kəm.stɑːns/,[sound:circumstance.mp3],"hoàn cảnh, trường hợp",Under no {{c1::circumstance}} should you give out your password.,"Sự kiện, điều kiện hoặc yếu tố ảnh hưởng đến một tình huống hoặc hành động.",A fact or condition connected with or relevant to an event or action.,"unforeseen circumstances, in the circumstances, financial circumstances","Syn: situation, condition | Ant: N/A",under no circumstances (dù trong bất kỳ hoàn cảnh nào cũng không),Tiền tố circum- (Xung quanh) + căn từ stare (đứng),Formal / Neutral - Thường dùng trong văn viết và pháp lý.
major,"<img src=""major.jpg"">",/ˈmeɪ.dʒər/,[sound:major.mp3],"chính, quan trọng",Lack of sleep is a {{c1::major}} cause of traffic accidents.,"Lớn, quan trọng hơn những thứ khác cùng loại; hoặc chuyên ngành đại học.","Important, serious, or significant.","major issue, major role, major in","Syn: main, significant | Ant: minor, insignificant",major player (thành tố/người chơi quan trọng),Từ tiếng Latin magnus (lớn) -> major (lớn hơn),"Neutral - Phổ biến trong học thuật, tin tức và đời sống."
get ready,,/ɡet ˈred.i/,[sound:getready.mp3],"chuẩn bị, sẵn sàng",We need to {{c1::get ready}} for the meeting in ten minutes.,Thực hiện các bước chuẩn bị bản thân hoặc đồ đạc cho một sự kiện sắp tới.,To prepare oneself or something for an activity or event.,"get ready for work, get ready to leave, get ready quickly","Syn: prepare, gear up | Ant: unprepare","get ready, set, go! (sẵn sàng, chuẩn bị, xuất phát!)",Động từ get (trở nên) + tính từ ready (sẵn sàng),"Informal / Neutral - Dùng hàng ngày trong giao tiếp gia đình, bạn bè."
expenses,"<img src=""expenses.jpg"">",/ɪkˈspen.sɪz/,[sound:expenses.mp3],"chi phí, khoản chi tiêu",Monthly living {{c1::expenses}} can be very high in big cities.,"Số tiền phải trả cho công việc, cuộc sống hoặc hoạt động nào đó.",The money spent on something; cost required for something.,"living expenses, travel expenses, cut down expenses","Syn: costs, expenditures | Ant: income, revenue",at the expense of (phải trả giá bằng/bằng chi phí của),Căn từ gốc Latin expendere (chi ra) -> expense + hậu tố số nhiều -s,Neutral / Business - Phổ biến trong quản lý tài chính cá nhân và doanh nghiệp.
fundamental,"<img src=""fundamental.jpg"">",/ˌfʌn.dəˈmen.təl/,[sound:fundamental.mp3],"cơ bản, cốt lõi",Freedom of speech is a {{c1::fundamental}} human right.,"Đóng vai trò là nền tảng, gốc rễ hoặc phần quan trọng nhất của cái gì.",Forming a necessary base or core; of central importance.,"fundamental change, fundamental principle, fundamental difference","Syn: basic, essential | Ant: secondary, superficial",fundamental cause (nguyên nhân gốc rễ),Danh từ fund (nền móng) -> fundament + hậu tố tính từ -al,"Formal / Academic - Thường dùng trong báo cáo, triết học, khoa học."
wonder,"<img src=""wonder.jpg"">",/ˈwʌn.dər/,[sound:wonder.mp3],"thắc mắc, kỳ quan",I {{c1::wonder}} why he didn't attend the conference yesterday.,"Muốn biết điều gì đó, tự hỏi; hoặc cảm giác ngạc nhiên, ngưỡng mộ.",To desire to know something; feel curious.,"wonder about, natural wonder, no wonder","Syn: ponder, marvel | Ant: ignore, disregard","no wonder (thảo nào, không có gì lạ)",Gốc từ tiếng Anh cổ 'wundor' (sự kinh ngạc),Neutral - Rất tự nhiên trong cả văn nói và văn viết.
rely,"<img src=""rely.jpg"">",/rɪˈlaɪ/,[sound:rely.mp3],"dựa vào, tin tưởng",You can always {{c1::rely}} on him to get the job done.,Đặt niềm tin hoặc sự phụ thuộc vào ai/cái gì để được hỗ trợ.,To depend on with full trust or confidence.,"rely heavily on, rely on, rely entirely on","Syn: depend, count on | Ant: distrust, doubt",rely on/upon (phụ thuộc vào/trông cậy vào),"Tiền tố re- (lại) + căn từ ligare (buộc, gắn kết)",Neutral - Rất phổ biến trong đời sống hàng ngày.
obvious,"<img src=""obvious.jpg"">",/ˈɒb.vi.əs/,[sound:obvious.mp3],"rõ ràng, hiển nhiên",It was {{c1::obvious}} that she was not telling the truth.,"Dễ dàng nhìn thấy, nhận ra hoặc hiểu được mà không cần giải thích.","Easily perceived or understood; clear, self-evident, or apparent.","obvious choice, obvious reason, state the obvious","Syn: clear, evident | Ant: subtle, hidden",staring you in the face (rõ rành rành ngay trước mắt),Tiền tố ob- (trước mặt) + căn từ via (con đường),Neutral - Phổ biến trong nói và viết.
annoyance,"<img src=""annoyance.jpg"">",/əˈnɔɪ.əns/,[sound:annoyance.mp3],"sự phiền toái, bực mình",The constant noise from next door was a major source of {{c1::annoyance}}.,Cảm giác bực bội nhẹ hoặc thứ gây khó chịu cho người khác.,The feeling of being annoyed; irritation or something that causes it.,"source of annoyance, express annoyance, minor annoyance","Syn: irritation, nuisance | Ant: pleasure, delight",much to one's annoyance (làm ai đó rất bực mình),Động từ annoy (làm phiền) + hậu tố danh từ -ance,Neutral - Thích hợp diễn tả trạng thái bức bối vừa phải.
burnt pans,,/bɜːnt pænz/,[sound:burntpans.mp3],những chiếc chảo bị cháy,Cleaning {{c1::burnt pans}} requires soaking them in warm soapy water first.,Các dụng cụ nấu ăn (chảo) bị khét do nhiệt độ quá cao khi đun nấu.,Cooking pans that have scorched food stuck to their surfaces due to overheating.,"clean burnt pans, scrub burnt pans, severely burnt pans",Syn: scorched pans | Ant: clean pans,burn the candle at both ends (làm việc kiệt sức),Tính từ burnt (bị cháy) + danh từ pans (những cái chảo),"Informal / Everyday - Cụm danh từ dùng trong ngữ cảnh đời sống, nội trợ."
